,StockCode,Description,ADI,CV2,Class
0,10002,INFLATABLE POLITICAL GLOBE ,2.24,1.242465208747515,Lumpy demand
1,10080,GROOVY CACTUS INFLATABLE,26.666666666666668,25.70236439499305,Lumpy demand
2,10109,BENDY COLOUR PENCILS,1.0,NA,NA
3,10120,DOGGY RUBBER,11.46875,10.483032060027286,Lumpy demand
4,10125,MINI FUNKY DESIGN TAPES,5.959677419354839,4.966397849462366,Lumpy demand
5,10133,COLOURING PENCILS BROWN TUBE,3.4361702127659575,2.4399472208477655,Lumpy demand
6,10134,COLOURING PENCILS BROWN TUBE,7.666666666666667,6.686046511627907,Lumpy demand
7,10135,COLOURING PENCILS BROWN TUBE,3.236842105263158,2.2398771691780333,Lumpy demand
8,10138,ASSORTED COLOUR JUMBO PEN,7.777777777777778,6.826538768984813,Lumpy demand
9,11001,ASSTD DESIGN RACING CAR PEN,3.8333333333333335,2.83718820861678,Lumpy demand
10,15030,FAN BLACK FRAME ,27.846153846153847,26.88328545589956,Lumpy demand
11,15034,PAPER POCKET TRAVELING FAN ,3.671641791044776,2.6752668138277405,Lumpy demand
12,15036,ASSORTED COLOURS SILK FAN,1.7066974595842956,0.7076550442178787,Lumpy demand
13,15039,SANDALWOOD FAN,3.31981981981982,2.322971748922836,Lumpy demand
14,16008,SMALL FOLDING SCISSOR(POINTED EDGE),8.887323943661972,7.8998435054773095,Lumpy demand
15,16010,FOLDING CAMPING SCISSOR W/KNIF & S,109.0,108.24827586206894,Lumpy demand
16,16011,ANIMAL STICKERS,6.9904761904761905,5.99864873643864,Lumpy demand
17,16012,FOOD/DRINK SPONGE STICKERS,10.054794520547945,9.067147582649648,Lumpy demand
18,16014,SMALL CHINESE STYLE SCISSOR,8.471264367816092,7.481415542228885,Lumpy demand
19,16015,MEDIUM CHINESE STYLE SCISSOR,11.916666666666666,10.931956115779647,Lumpy demand
20,16016,LARGE CHINESE STYLE SCISSOR,7.520408163265306,6.529267413487134,Lumpy demand
21,16033,MINI HIGHLIGHTER PENS,9.456521739130435,8.47600681226207,Lumpy demand
22,16043,POP ART PUSH DOWN RUBBER ,41.61538461538461,40.69059829059829,Lumpy demand
23,16044,POP-ART FLUORESCENT PENS,14.333333333333334,13.650793650793652,Lumpy demand
24,16045,POPART WOODEN PENCILS ASST,11.258064516129032,10.272781968806404,Lumpy demand
25,16046,TEATIME PEN CASE & PENS,13.181818181818182,12.198643897538926,Lumpy demand
26,16047,POP ART PEN CASE & PENS,11.714285714285714,10.747051114023586,Lumpy demand
27,16048,TEATIME ROUND PENCIL SHARPENER ,8.318181818181818,7.328193010819549,Lumpy demand
28,16049,TEATIME GEL PENS ASST,19.214285714285715,18.24820430965682,Lumpy demand
29,16050,TEATIME PENCIL WITH RUBBER,9.0,8.129032258064516,Lumpy demand
30,16051,TEATIME PENCIL W STAMP ASST,45.5,44.74585635359116,Lumpy demand
31,16052,TEATIME PUSH DOWN RUBBER,16.393939393939394,15.422446689113356,Lumpy demand
32,16053,POPART COL BALLPOINT PEN ASST,31.4,30.49712460063898,Lumpy demand
33,16054,POPART RECT PENCIL SHARPENER ASST,19.914285714285715,18.941461412151067,Lumpy demand
34,16119,FUNKY GIRL ADDRESS BOOK,2.1666666666666665,1.2638888888888886,Lumpy demand
35,16192,PINK BALLET OPENING CUBE BOX ,1.0,NA,NA
36,16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,9.61111111111111,8.636070853462156,Lumpy demand
37,16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,1.0,NA,NA
38,16216,LETTER SHAPE PENCIL SHARPENER,9.532467532467532,8.544108006590955,Lumpy demand
39,16218,CARTOON  PENCIL SHARPENERS,8.714285714285714,7.72483877271839,Lumpy demand
40,16219,HOUSE SHAPE PENCIL SHARPENER,6.850467289719626,5.85845973137225,Lumpy demand
41,16225,RATTLE SNAKE EGGS,5.818897637795276,4.825427309391204,Lumpy demand
42,16235,RECYCLED PENCIL WITH RABBIT ERASER,3.359090909090909,2.362287509238729,Lumpy demand
43,16236,KITTY PENCIL ERASERS,3.7411167512690353,2.7448410946810857,Lumpy demand
44,16237,SLEEPING CAT ERASERS,2.192878338278932,1.1944947045909626,Lumpy demand
45,16238,PARTY TIME PENCIL ERASERS,4.077348066298343,3.0815235724941346,Lumpy demand
46,16239,BALLERINA HEART DECORATION.,5.6875,4.739583333333334,Lumpy demand
47,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,21.53125,20.561091933139533,Lumpy demand
48,16259,PIECE OF CAMO STATIONERY SET,13.862745098039216,12.880964283730485,Lumpy demand
49,17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,21.523809523809526,20.569316861999784,Lumpy demand
50,17003,BROCADE RING PURSE ,2.443708609271523,1.4456675083343065,Lumpy demand
51,17021,NAMASTE SWAGAT INCENSE,9.757142857142858,8.769983242563887,Lumpy demand
52,17033,BROCADE PURSESMALL ARCH BUTTON,5.75,4.764797507788163,Lumpy demand
53,17038,PORCELAIN BUDAH INCENSE HOLDER,13.2,12.216827586206897,Lumpy demand
54,17039,INLAID WOOD INCENSE HOLDER,6.435897435897436,5.457641025641025,Lumpy demand
55,17061,ASSORTED SHAPED STENCIL FOR HENNA,1.0,NA,NA
56,17096,ASSORTED LAQUERED INCENSE HOLDERS,8.75,7.763047138047139,Lumpy demand
57,17174,ASSTD RASTA KEY-CHAINS,110.33333333333333,109.49873928391325,Lumpy demand
58,17178,FLAT PALM T-LIGHT HOLDER,12.304347826086957,11.344434165895775,Lumpy demand
59,17181,CIRCLE OF FRIENDS CANDLE HOLDER,5.276595744680851,4.293909897493325,Lumpy demand
60,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,9.612903225806452,8.627378693412847,Lumpy demand
61,18010,ASSORTED FRAGRANCE BATH CONFETTI,7.375,6.484913793103448,Lumpy demand
62,20615,BLUE POLKADOT PASSPORT COVER,5.089655172413793,4.095204229635521,Lumpy demand
63,20616,CHERRY BLOSSOM PASSPORT COVER,7.454545454545454,6.463303318120143,Lumpy demand
64,20617,FIRST CLASS PASSPORT COVER ,7.757894736842105,6.767076659038903,Lumpy demand
65,20618,QUEEN OF THE SKIES PASSPORT COVER ,6.2905982905982905,5.2977963835106685,Lumpy demand
66,20619,TROPICAL PASSPORT COVER ,4.622641509433962,3.6275769883296487,Lumpy demand
67,20620,RED SPOTTY PASSPORT COVER,5.818181818181818,4.894660894660895,Lumpy demand
68,20621,ECONOMY PASSPORT COVER ,8.870967741935484,7.899693901577584,Lumpy demand
69,20622,VIPPASSPORT COVER ,6.805555555555555,5.813465031789282,Lumpy demand
70,20652,BLUE POLKADOT LUGGAGE TAG ,5.548872180451128,4.555044327236,Lumpy demand
71,20653,CHERRY BLOSSOM LUGGAGE TAG,10.485714285714286,9.49865523289807,Lumpy demand
72,20654,FIRST CLASS LUGGAGE TAG ,6.897196261682243,5.905197884832422,Lumpy demand
73,20655,QUEEN OF SKIES LUGGAGE TAG,4.95945945945946,3.9648611776851874,Lumpy demand
74,20657,TROPICAL LUGGAGE TAG,7.329896907216495,6.338812254973138,Lumpy demand
75,20658,RED SPOTTY LUGGAGE TAG,2.7708333333333335,1.773500251004016,Lumpy demand
76,20659,ECONOMY LUGGAGE TAG,6.718181818181818,5.725930032027594,Lumpy demand
77,20660,VIP LUGGAGE TAG ,12.842105263157896,11.89083820662768,Lumpy demand
78,20661,BLUE SPOTTY PURSE ,6.526785714285714,5.5343566536203515,Lumpy demand
79,20662,FIRST CLASS HOLIDAY PURSE ,15.28888888888889,14.309687853792655,Lumpy demand
80,20663,QUEEN OF THE SKIES HOLIDAY PURSE ,16.925,15.948557692307695,Lumpy demand
81,20664,TROPICAL HOLIDAY PURSE ,20.8,19.83178170144462,Lumpy demand
82,20665,RED RETROSPOT PURSE ,2.921259842519685,1.9238526358294277,Lumpy demand
83,20666,ECONOMY HOLIDAY PURSE,14.047619047619047,13.069771202199043,Lumpy demand
84,20667,CHERRY BLOSSOM PURSE,25.916666666666668,24.956790123456788,Lumpy demand
85,20668,DISCO BALL CHRISTMAS DECORATION,3.6176470588235294,2.6211988187405217,Lumpy demand
86,20669,RED HEART LUGGAGE TAG,4.169491525423729,3.1737920566658238,Lumpy demand
87,20670,VIP HOLIDAY PURSE,16.09090909090909,15.112254082551113,Lumpy demand
88,20671,BLUE TEATIME PRINT BOWL ,3.032520325203252,2.0379840895183143,Lumpy demand
89,20672,PINK TEATIME PRINT BOWL,3.1333333333333333,2.156272401433692,Lumpy demand
90,20673,STRAWBERRIES PRINT BOWL,1.5,0.7499999999999999,Lumpy demand
91,20674,GREEN POLKADOT BOWL,2.2326283987915407,1.2342986269741851,Lumpy demand
92,20675,BLUE POLKADOT BOWL,1.8403990024937655,0.8415392996477599,Lumpy demand
93,20676,RED RETROSPOT BOWL,1.549266247379455,0.5500105105872862,Lumpy demand
94,20677,PINK POLKADOT BOWL,1.7452830188679245,0.746291520923226,Lumpy demand
95,20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.0,NA,NA
96,20679,EDWARDIAN PARASOL RED,1.9194805194805196,0.9207264280435014,Lumpy demand
97,20680,PINK FLOWERS CHILDS UMBRELLA,11.0,10.232558139534886,Lumpy demand
98,20681,PINK SPOTTY CHILDS UMBRELLA,2.2227488151658767,1.2253615263093935,Lumpy demand
99,20682,RED RETROSPOT CHILDRENS UMBRELLA,2.0903954802259888,1.091870981552411,Lumpy demand
100,20683,RAIN GIRL CHILDS UMBRELLA,1.0,NA,NA
101,20684,STRAWBERRY DREAM CHILDS UMBRELLA,4.188811188811189,3.194143648993147,Lumpy demand
102,20685,DOORMAT RED RETROSPOT,1.3568904593639577,0.3573557663513943,Intermittent demand
103,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,4.785714285714286,3.790857919254659,Lumpy demand
104,20688,BEAUTY SPEED EXPRESSO CUPS,10.4,9.491262135922328,Lumpy demand
105,20689,RETRO SISTERS EXPRESSO CUPS,6.470588235294118,5.495568090249797,Lumpy demand
106,20692,FLORAL ELEPHANT SOFT TOY,3.0652173913043477,2.072566919387281,Lumpy demand
107,20693,FLORAL DINOSAUR GREEN,6.4375,5.490808823529413,Lumpy demand
108,20694,FLORAL PINK MONSTER,15.695652173913043,14.71603449315564,Lumpy demand
109,20695,FLORAL BLUE MONSTER,16.295454545454547,15.316816912138142,Lumpy demand
110,20696,FLORAL SOFT CAR TOY,12.456140350877194,11.472298517803676,Lumpy demand
111,20697,LITTLE GREEN MONSTER SOFT TOY,35.55,34.598661971830985,Lumpy demand
112,20698,LITTLE PINK MONSTER SOFT TOY,33.8,32.8485925925926,Lumpy demand
113,20699,MOUSEY LONG LEGS SOFT TOY,10.027397260273972,9.039746640930982,Lumpy demand
114,20700,GREEN CAT FLORAL CUSHION COVER ,8.474358974358974,7.485683760683762,Lumpy demand
115,20701,PINK CAT FLORAL CUSHION COVER ,16.941176470588236,15.968900255754477,Lumpy demand
116,20702,PINK PADDED MOBILE,3.6861702127659575,2.6900519616283356,Lumpy demand
117,20703,BLUE PADDED SOFT MOBILE,3.8461538461538463,2.8518575612763986,Lumpy demand
118,20704,MR ROBOT SOFT TOY,11.46875,10.483032060027286,Lumpy demand
119,20705,MRS ROBOT SOFT TOY,14.6,13.618655692729769,Lumpy demand
120,20707,CRAZY DAISY HEART DECORATION,4.88,3.885307797537619,Lumpy demand
121,20711,JUMBO BAG TOYS ,1.6030701754385965,0.6038962989665946,Lumpy demand
122,20712,JUMBO BAG WOODLAND ANIMALS,1.4959514170040487,0.49662343789429797,Lumpy demand
123,20713,JUMBO BAG OWLS,1.65625,0.6571356275303645,Lumpy demand
124,20714,POSY SHOPPER BAG,3.0714285714285716,2.120748299319728,Lumpy demand
125,20715,LITTLE FLOWER SHOPPER BAG,1.0,NA,NA
126,20716,PARTY FOOD SHOPPER BAG,3.1135135135135137,2.117189189189189,Lumpy demand
127,20717,STRAWBERRY SHOPPER BAG,1.7037037037037037,0.7046611237087427,Lumpy demand
128,20718,RED RETROSPOT SHOPPER BAG,1.4390715667311411,0.43966251096631087,Intermittent demand
129,20719,WOODLAND CHARLOTTE BAG,1.3787313432835822,0.3792445293855922,Intermittent demand
130,20721,OWLS CHARLOTTE BAG,1.0,NA,NA
131,20723,STRAWBERRY CHARLOTTE BAG,1.4157088122605364,0.41627210333406023,Intermittent demand
132,20724,RED RETROSPOT CHARLOTTE BAG,1.2998266897746966,0.30022699243127177,Smooth demand
133,20725,LUNCH BAG RED RETROSPOT,1.2365415986949428,0.2368540710842361,Smooth demand
134,20726,LUNCH BAG WOODLAND,1.2964912280701755,0.29689297770170686,Smooth demand
135,20727,LUNCH BAG  BLACK SKULL.,1.2763385146804835,0.27671295711229993,Smooth demand
136,20728,LUNCH BAG CARS BLUE,1.2919580419580419,0.29235364906096617,Smooth demand
137,20729,RED SPOTTY CANDY BAG,2.75,1.7588832487309642,Lumpy demand
138,20730,STRAWBERRY CANDY BAG,4.573770491803279,3.58662578134214,Lumpy demand
139,20731,POSY CANDY BAG,8.373134328358208,7.386300639658847,Lumpy demand
140,20733,GOLD MINI TAPE MEASURE ,3.6485148514851486,2.6521133770985803,Lumpy demand
141,20734,SILVER MINI TAPE MEASURE ,4.823529411764706,3.831316640709237,Lumpy demand
142,20735,BLACK MINI TAPE MEASURE ,4.803921568627451,3.809104023080622,Lumpy demand
143,20736,PINK MINI TAPE MEASURE ,7.357142857142857,6.419467787114848,Lumpy demand
144,20737,RED MINI TAPE MEASURE ,1.0,NA,NA
145,20738,GREEN MINI TAPE MEASURE ,5.746031746031746,4.7591786483753244,Lumpy demand
146,20739,*USB Office Glitter Lamp,1.0,NA,NA
147,20747,PICCADILLY TEA SET,2.5692307692307694,1.578683966635774,Lumpy demand
148,20748,KENSINGTON COFFEE SET,5.651162790697675,4.6575517505750055,Lumpy demand
149,20749,ASSORTED COLOUR MINI CASES,1.802439024390244,0.8035263401414503,Lumpy demand
150,20750,RED RETROSPOT MINI CASES,1.6353711790393013,0.6362206057492469,Lumpy demand
151,20751,FUNKY WASHING UP GLOVES ASSORTED,2.337579617834395,1.3394044194958339,Lumpy demand
152,20752,BLUE POLKADOT WASHING UP GLOVES,2.935483870967742,1.938146159648578,Lumpy demand
153,20753,RETRO PINK SPOT WASHING UP GLOVES,2.3333333333333335,1.3611111111111114,Lumpy demand
154,20754,RETROSPOT RED WASHING UP GLOVES,1.7220902612826603,0.723087623522001,Lumpy demand
155,20755,BLUE PAISLEY POCKET BOOK,7.536082474226804,6.545036011862729,Lumpy demand
156,20756,GREEN FERN POCKET BOOK,14.44,13.458640776699031,Lumpy demand
157,20757,RED DAISY POCKET BOOK ,11.265625,10.2798828125,Lumpy demand
158,20758,ABSTRACT CIRCLES POCKET BOOK,9.826666666666666,8.838659420289854,Lumpy demand
159,20759,CHRYSANTHEMUM POCKET BOOK ,14.42,13.43863888888889,Lumpy demand
160,20760,GARDEN PATH POCKET BOOK,11.444444444444445,10.45895061728395,Lumpy demand
161,20761,BLUE PAISLEY SKETCHBOOK,5.7578125,4.764276919157609,Lumpy demand
162,20762,GREEN FERN SKETCHBOOK ,6.4298245614035086,5.43724235452018,Lumpy demand
163,20763,DAISY SKETCHBOOK ,11.23076923076923,10.244803207766173,Lumpy demand
164,20764,ABSTRACT CIRCLES SKETCHBOOK ,5.0479452054794525,4.053445131030377,Lumpy demand
165,20765,CHRYSANTHEMUM SKETCHBOOK ,6.228813559322034,5.235937283517296,Lumpy demand
166,20766,GARDEN PATH SKETCHBOOK,5.943089430894309,4.9498607862790935,Lumpy demand
167,20767,BLUE PAISLEY JOURNAL ,4.717948717948718,3.7230071515785794,Lumpy demand
168,20768,GREEN FERN JOURNAL ,5.983739837398374,4.990520435816602,Lumpy demand
169,20769,DAISY JOURNAL ,10.579710144927537,9.592851036758713,Lumpy demand
170,20770,ABSTRACT CIRCLE JOURNAL ,4.515527950310559,3.5203702753109867,Lumpy demand
171,20771,CHRYSANTHEMUM  JOURNAL,6.344827586206897,5.352099460473845,Lumpy demand
172,20772,GARDEN PATH JOURNAL,5.849206349206349,4.85579494478951,Lumpy demand
173,20773,BLUE PAISLEY NOTEBOOK,6.711340206185567,5.720126883425852,Lumpy demand
174,20774,GREEN FERN NOTEBOOK,7.010416666666667,6.019360739087302,Lumpy demand
175,20775,DAISY NOTEBOOK ,8.11111111111111,7.120865721688768,Lumpy demand
176,20776,ABSTRACT CIRCLES NOTEBOOK,5.105263157894737,4.119419237749546,Lumpy demand
177,20777,CHRYSANTHEMUM NOTEBOOK,5.641221374045801,4.647510291896813,Lumpy demand
178,20778,GARDEN PATH NOTEBOOK ,6.8133333333333335,5.824732026143791,Lumpy demand
179,20780,BLACK EAR MUFF HEADPHONES,9.972972972972974,8.985147970222595,Lumpy demand
180,20781,GOLD EAR MUFF HEADPHONES,12.87719298245614,11.89339651994926,Lumpy demand
181,20782,CAMOUFLAGE EAR MUFF HEADPHONES,11.196969696969697,10.210786729079413,Lumpy demand
182,20783,HEART EAR MUFF HEADPHONES,6.317073170731708,5.33768198147098,Lumpy demand
183,20784,RED RETRO BAR STOOL,9.285714285714286,8.311287477954144,Lumpy demand
184,20785,FUSCHIA RETRO BAR STOOL,12.941176470588236,11.968377328152217,Lumpy demand
185,20786,BLACK RETRO BAR STOOL,9.133333333333333,8.163125763125763,Lumpy demand
186,20787,BLUE RETRO BAR STOOL,9.576923076923077,8.611507444168733,Lumpy demand
187,20791,BLUE TILED SET OF 3 DRAWERS,1.0,NA,NA
188,20793,BLUE TILED TRAY,29.363636363636363,28.407610993657507,Lumpy demand
189,20794,BLUE  TILE HOOK,14.5625,13.58193051575931,Lumpy demand
190,20795,LARGE BLUE PROVENCAL CERAMIC BALL,25.964285714285715,24.99867178276269,Lumpy demand
191,20796,SMALL BLUE PROVENCAL CERAMIC BALL,31.90909090909091,30.9531837634548,Lumpy demand
192,20798,CLEAR MILKSHAKE GLASS,5.5394736842105265,4.550281954887218,Lumpy demand
193,20799,PINK MILKSHAKE GLASS,12.384615384615385,11.42008147615624,Lumpy demand
194,20800,LARGE GLASS SUNDAE DISH CLEAR,15.8,14.989743589743588,Lumpy demand
195,20801,LARGE PINK GLASS SUNDAE DISH,6.012195121951219,5.022382510410471,Lumpy demand
196,20802,SMALL GLASS SUNDAE DISH CLEAR,6.922330097087379,5.93064797643722,Lumpy demand
197,20803,SMALL PINK GLASS SUNDAE DISH,6.905405405405405,5.916984631690515,Lumpy demand
198,20804,GLASS CHICKEN BUTTER DISH,6.65625,5.682930424528302,Lumpy demand
199,20812,EMBOSSED FLOWER TRELLIS PHOTO FRAME,19.666666666666668,18.988505747126435,Lumpy demand
200,20814,SILVER FINCH DECORATION,8.6,7.689411764705883,Lumpy demand
201,20816,GOLD FLOWER CUSHION COVER ,74.83333333333333,73.99813988095237,Lumpy demand
202,20818,GOLD TEDDY BEAR,18.535714285714285,17.569567015995595,Lumpy demand
203,20819,SILVER TEDDY BEAR,13.017857142857142,12.034365188383042,Lumpy demand
204,20820,SILVER LOOKING MIRROR,55.0,54.12300683371298,Lumpy demand
205,20821,GOLDIE LOOKING MIRROR,28.4,27.438645980253877,Lumpy demand
206,20822,SILVER WINE GOBLET,1.0,NA,NA
207,20823,GOLD WINE GOBLET,32.705882352941174,31.76301006889242,Lumpy demand
208,20825,GOLD WINE GLASS,58.166666666666664,57.33093869731801,Lumpy demand
209,20826,SILVER APERITIF GLASS,38.142857142857146,37.21254355400696,Lumpy demand
210,20827,GOLD APERITIF GLASS,63.375,62.49827075098815,Lumpy demand
211,20828,GLITTER BUTTERFLY CLIPS,2.0163934426229506,1.0177725382031722,Lumpy demand
212,20829,GLITTER HANGING BUTTERFLY STRING,2.32807570977918,1.3298777120990974,Lumpy demand
213,20830,SILVER PHOTO FRAME,9.067567567567568,8.079608713190803,Lumpy demand
214,20831,GOLD PHOTO FRAME,10.123287671232877,9.13564984964918,Lumpy demand
215,20832,RED FLOCK LOVE HEART PHOTO FRAME,5.865079365079365,4.871671613541532,Lumpy demand
