,StockCode,Description,ADI,CV2,Class
0,10002,INFLATABLE POLITICAL GLOBE ,1.042857142857143,0.04345238095238096,Smooth demand
1,10080,GROOVY CACTUS INFLATABLE,5.2,4.2407766990291265,Lumpy demand
2,10109,BENDY COLOUR PENCILS,1.0,NA,NA
3,10120,DOGGY RUBBER,2.5,1.5144230769230766,Lumpy demand
4,10125,MINI FUNKY DESIGN TAPES,1.4929577464788732,0.49765258215962443,Lumpy demand
5,10133,COLOURING PENCILS BROWN TUBE,1.2567567567567568,0.2595475910693302,Smooth demand
6,10134,COLOURING PENCILS BROWN TUBE,1.7241379310344827,0.7389162561576356,Lumpy demand
7,10135,COLOURING PENCILS BROWN TUBE,1.127659574468085,0.12887537993920975,Smooth demand
8,10138,ASSORTED COLOUR JUMBO PEN,2.3333333333333335,1.4000000000000004,Lumpy demand
9,11001,ASSTD DESIGN RACING CAR PEN,1.2183908045977012,0.22047071702244112,Smooth demand
10,15030,FAN BLACK FRAME ,4.375,3.407451923076923,Lumpy demand
11,15034,PAPER POCKET TRAVELING FAN ,1.1521739130434783,0.15362318840579708,Smooth demand
12,15036,ASSORTED COLOURS SILK FAN,1.0392156862745099,0.039589169000933705,Smooth demand
13,15039,SANDALWOOD FAN,1.127659574468085,0.12887537993920975,Smooth demand
14,16008,SMALL FOLDING SCISSOR(POINTED EDGE),2.116279069767442,1.128682170542636,Lumpy demand
15,16010,FOLDING CAMPING SCISSOR W/KNIF & S,16.0,15.238095238095239,Lumpy demand
16,16011,ANIMAL STICKERS,1.5820895522388059,0.5876332622601281,Lumpy demand
17,16012,FOOD/DRINK SPONGE STICKERS,2.0784313725490198,1.0887021475256768,Lumpy demand
18,16014,SMALL CHINESE STYLE SCISSOR,1.7666666666666666,0.7739682539682541,Lumpy demand
19,16015,MEDIUM CHINESE STYLE SCISSOR,1.9074074074074074,0.9163035584604214,Lumpy demand
20,16016,LARGE CHINESE STYLE SCISSOR,1.536231884057971,0.5413388543823328,Lumpy demand
21,16033,MINI HIGHLIGHTER PENS,1.75,0.7620967741935484,Lumpy demand
22,16043,POP ART PUSH DOWN RUBBER ,7.090909090909091,6.170011806375443,Lumpy demand
23,16044,POP-ART FLUORESCENT PENS,2.3333333333333335,1.5555555555555558,Lumpy demand
24,16045,POPART WOODEN PENCILS ASST,2.8055555555555554,1.8236111111111115,Lumpy demand
25,16046,TEATIME PEN CASE & PENS,2.5,1.5144230769230766,Lumpy demand
26,16047,POP ART PEN CASE & PENS,2.1363636363636362,1.1610671936758887,Lumpy demand
27,16048,TEATIME ROUND PENCIL SHARPENER ,1.8103448275862069,0.8181366047745358,Lumpy demand
28,16049,TEATIME GEL PENS ASST,3.9,2.9376623376623376,Lumpy demand
29,16050,TEATIME PENCIL WITH RUBBER,1.4285714285714286,0.4761904761904762,Intermittent demand
30,16051,TEATIME PENCIL W STAMP ASST,6.75,5.971153846153846,Lumpy demand
