,StockCode,Description,ADI,CV2,Class
0,10002,INFLATABLE POLITICAL GLOBE ,1.0,0.0,Smooth demand
1,10080,GROOVY CACTUS INFLATABLE,2.1818181818181817,1.2332015810276684,Lumpy demand
2,10109,BENDY COLOUR PENCILS,1.0,NA,NA
3,10120,DOGGY RUBBER,1.1904761904761905,0.19841269841269846,Smooth demand
4,10125,MINI FUNKY DESIGN TAPES,1.0869565217391304,0.09057971014492752,Smooth demand
5,10133,COLOURING PENCILS BROWN TUBE,1.0,0.0,Smooth demand
6,10134,COLOURING PENCILS BROWN TUBE,1.0,0.0,Smooth demand
7,10135,COLOURING PENCILS BROWN TUBE,1.0,0.0,Smooth demand
8,10138,ASSORTED COLOUR JUMBO PEN,1.0,0.0,Smooth demand
9,11001,ASSTD DESIGN RACING CAR PEN,1.0,0.0,Smooth demand
10,15030,FAN BLACK FRAME ,1.4705882352941178,0.4901960784313726,Lumpy demand
11,15034,PAPER POCKET TRAVELING FAN ,1.0,0.0,Smooth demand
12,15036,ASSORTED COLOURS SILK FAN,1.0,0.0,Smooth demand
13,15039,SANDALWOOD FAN,1.0,0.0,Smooth demand
14,16008,SMALL FOLDING SCISSOR(POINTED EDGE),1.2941176470588236,0.30812324929971996,Smooth demand
15,16010,FOLDING CAMPING SCISSOR W/KNIF & S,3.75,2.946428571428571,Lumpy demand
16,16011,ANIMAL STICKERS,1.0416666666666667,0.04340277777777778,Smooth demand
17,16012,FOOD/DRINK SPONGE STICKERS,1.1363636363636365,0.14204545454545453,Smooth demand
18,16014,SMALL CHINESE STYLE SCISSOR,1.0416666666666667,0.04340277777777778,Smooth demand
19,16015,MEDIUM CHINESE STYLE SCISSOR,1.1428571428571428,0.1490683229813664,Smooth demand
20,16016,LARGE CHINESE STYLE SCISSOR,1.0,0.0,Smooth demand
21,16033,MINI HIGHLIGHTER PENS,1.0,0.0,Smooth demand
22,16043,POP ART PUSH DOWN RUBBER ,2.111111111111111,1.1728395061728398,Lumpy demand
23,16044,POP-ART FLUORESCENT PENS,1.0,NA,NA
24,16045,POPART WOODEN PENCILS ASST,1.7142857142857142,0.7453416149068324,Lumpy demand
25,16046,TEATIME PEN CASE & PENS,1.0909090909090908,0.09486166007905139,Smooth demand
26,16047,POP ART PEN CASE & PENS,1.1,0.11000000000000003,Smooth demand
27,16048,TEATIME ROUND PENCIL SHARPENER ,1.0,0.0,Smooth demand
28,16049,TEATIME GEL PENS ASST,1.6363636363636365,0.6737967914438503,Lumpy demand
29,16050,TEATIME PENCIL WITH RUBBER,1.0,0.0,Smooth demand
30,16051,TEATIME PENCIL W STAMP ASST,2.3333333333333335,1.5555555555555558,Lumpy demand
31,16052,TEATIME PUSH DOWN RUBBER,1.2666666666666666,0.28148148148148144,Smooth demand
32,16053,POPART COL BALLPOINT PEN ASST,1.375,0.4125,Intermittent demand
33,16054,POPART RECT PENCIL SHARPENER ASST,2.0,1.0434782608695654,Lumpy demand
34,16119,FUNKY GIRL ADDRESS BOOK,1.0,NA,NA
35,16192,PINK BALLET OPENING CUBE BOX ,1.0,NA,NA
36,16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,1.0909090909090908,0.09917355371900828,Smooth demand
37,16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,1.0,NA,NA
38,16216,LETTER SHAPE PENCIL SHARPENER,1.0869565217391304,0.09057971014492752,Smooth demand
39,16218,CARTOON  PENCIL SHARPENERS,1.0869565217391304,0.09057971014492752,Smooth demand
40,16219,HOUSE SHAPE PENCIL SHARPENER,1.1363636363636365,0.14204545454545453,Smooth demand
41,16225,RATTLE SNAKE EGGS,1.0416666666666667,0.04340277777777778,Smooth demand
42,16235,RECYCLED PENCIL WITH RABBIT ERASER,1.0,0.0,Smooth demand
43,16236,KITTY PENCIL ERASERS,1.0,0.0,Smooth demand
44,16237,SLEEPING CAT ERASERS,1.0,0.0,Smooth demand
45,16238,PARTY TIME PENCIL ERASERS,1.0,0.0,Smooth demand
46,16239,BALLERINA HEART DECORATION.,1.0,0.0,Smooth demand
47,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1.6428571428571428,0.672077922077922,Lumpy demand
48,16259,PIECE OF CAMO STATIONERY SET,1.2,0.208695652173913,Smooth demand
49,17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1.5,0.5357142857142857,Lumpy demand
50,17003,BROCADE RING PURSE ,1.0,0.0,Smooth demand
51,17021,NAMASTE SWAGAT INCENSE,1.0,0.0,Smooth demand
52,17033,BROCADE PURSESMALL ARCH BUTTON,1.1,0.11000000000000003,Smooth demand
53,17038,PORCELAIN BUDAH INCENSE HOLDER,1.1363636363636365,0.14204545454545453,Smooth demand
54,17039,INLAID WOOD INCENSE HOLDER,1.0,0.0,Smooth demand
55,17061,ASSORTED SHAPED STENCIL FOR HENNA,1.0,NA,NA
56,17096,ASSORTED LAQUERED INCENSE HOLDERS,1.0,0.0,Smooth demand
57,17174,ASSTD RASTA KEY-CHAINS,4.4,3.5619047619047626,Lumpy demand
58,17178,FLAT PALM T-LIGHT HOLDER,1.0,0.0,Smooth demand
59,17181,CIRCLE OF FRIENDS CANDLE HOLDER,1.0,0.0,Smooth demand
60,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,1.0526315789473684,0.0554016620498615,Smooth demand
61,18010,ASSORTED FRAGRANCE BATH CONFETTI,1.0,NA,NA
62,20615,BLUE POLKADOT PASSPORT COVER,1.0,0.0,Smooth demand
63,20616,CHERRY BLOSSOM PASSPORT COVER,1.0,0.0,Smooth demand
64,20617,FIRST CLASS PASSPORT COVER ,1.0869565217391304,0.09057971014492752,Smooth demand
65,20618,QUEEN OF THE SKIES PASSPORT COVER ,1.0416666666666667,0.04340277777777778,Smooth demand
66,20619,TROPICAL PASSPORT COVER ,1.0,0.0,Smooth demand
67,20620,RED SPOTTY PASSPORT COVER,1.0,0.0,Smooth demand
68,20621,ECONOMY PASSPORT COVER ,1.0,0.0,Smooth demand
69,20622,VIPPASSPORT COVER ,1.0,0.0,Smooth demand
70,20652,BLUE POLKADOT LUGGAGE TAG ,1.0,0.0,Smooth demand
71,20653,CHERRY BLOSSOM LUGGAGE TAG,1.1363636363636365,0.14204545454545453,Smooth demand
72,20654,FIRST CLASS LUGGAGE TAG ,1.0,0.0,Smooth demand
73,20655,QUEEN OF SKIES LUGGAGE TAG,1.0416666666666667,0.04340277777777778,Smooth demand
74,20657,TROPICAL LUGGAGE TAG,1.0,0.0,Smooth demand
75,20658,RED SPOTTY LUGGAGE TAG,1.0,0.0,Smooth demand
76,20659,ECONOMY LUGGAGE TAG,1.0416666666666667,0.04340277777777778,Smooth demand
77,20660,VIP LUGGAGE TAG ,1.2857142857142858,0.32142857142857145,Smooth demand
78,20661,BLUE SPOTTY PURSE ,1.25,0.2604166666666666,Smooth demand
79,20662,FIRST CLASS HOLIDAY PURSE ,1.3529411764705883,0.3689839572192514,Intermittent demand
80,20663,QUEEN OF THE SKIES HOLIDAY PURSE ,1.2105263157894737,0.2200956937799043,Smooth demand
81,20664,TROPICAL HOLIDAY PURSE ,1.75,0.7875000000000001,Lumpy demand
82,20665,RED RETROSPOT PURSE ,1.0,0.0,Smooth demand
83,20666,ECONOMY HOLIDAY PURSE,1.3333333333333333,0.35087719298245607,Intermittent demand
84,20667,CHERRY BLOSSOM PURSE,2.1,1.1550000000000002,Lumpy demand
85,20668,DISCO BALL CHRISTMAS DECORATION,1.0,0.0,Smooth demand
86,20669,RED HEART LUGGAGE TAG,1.0869565217391304,0.09057971014492752,Smooth demand
87,20670,VIP HOLIDAY PURSE,1.263157894736842,0.2745995423340961,Smooth demand
88,20671,BLUE TEATIME PRINT BOWL ,1.0,0.0,Smooth demand
89,20672,PINK TEATIME PRINT BOWL,1.0,0.0,Smooth demand
90,20673,STRAWBERRIES PRINT BOWL,1.0,NA,NA
91,20674,GREEN POLKADOT BOWL,1.0,0.0,Smooth demand
92,20675,BLUE POLKADOT BOWL,1.0,0.0,Smooth demand
93,20676,RED RETROSPOT BOWL,1.0,0.0,Smooth demand
94,20677,PINK POLKADOT BOWL,1.0,0.0,Smooth demand
95,20678,LARGE BLACK DIAMANTE HAIRSLIDE,1.0,NA,NA
96,20679,EDWARDIAN PARASOL RED,1.0,0.0,Smooth demand
97,20680,PINK FLOWERS CHILDS UMBRELLA,1.0,NA,NA
