,InvoiceDate,Quantity,StockCode
0,2009-12-31,216.0,10002
1,2010-01-31,291.0,10002
2,2010-02-28,257.0,10002
3,2010-03-31,642.0,10002
4,2010-04-30,1132.0,10002
5,2010-05-31,1465.0,10002
6,2010-06-30,463.0,10002
7,2010-07-31,512.0,10002
8,2010-08-31,586.0,10002
9,2010-09-30,242.0,10002
10,2010-10-31,1046.0,10002
11,2010-11-30,964.0,10002
12,2010-12-31,411.0,10002
13,2011-01-31,340.0,10002
14,2011-02-28,52.0,10002
15,2011-03-31,28.0,10002
16,2011-04-30,189.0,10002
17,2009-12-31,4.0,10080
18,2010-01-31,0.0,10080
19,2010-02-28,0.0,10080
20,2010-03-31,0.0,10080
21,2010-04-30,0.0,10080
22,2010-05-31,0.0,10080
23,2010-06-30,0.0,10080
24,2010-07-31,1.0,10080
25,2010-08-31,0.0,10080
26,2010-09-30,6.0,10080
27,2010-10-31,0.0,10080
28,2010-11-30,1.0,10080
29,2010-12-31,0.0,10080
30,2011-01-31,0.0,10080
31,2011-02-28,2.0,10080
32,2011-03-31,0.0,10080
33,2011-04-30,0.0,10080
34,2011-05-31,0.0,10080
35,2011-06-30,60.0,10080
36,2011-07-31,24.0,10080
37,2011-08-31,60.0,10080
38,2011-09-30,60.0,10080
39,2011-10-31,6.0,10080
40,2011-11-30,113.0,10080
41,2009-12-31,4.0,10109
42,2009-12-31,115.0,10120
43,2010-01-31,32.0,10120
44,2010-02-28,5.0,10120
45,2010-03-31,68.0,10120
46,2010-04-30,60.0,10120
47,2010-05-31,4.0,10120
48,2010-06-30,30.0,10120
49,2010-07-31,3.0,10120
50,2010-08-31,0.0,10120
51,2010-09-30,9.0,10120
52,2010-10-31,71.0,10120
53,2010-11-30,75.0,10120
54,2010-12-31,31.0,10120
55,2011-01-31,0.0,10120
56,2011-02-28,30.0,10120
57,2011-03-31,29.0,10120
58,2011-04-30,0.0,10120
59,2011-05-31,3.0,10120
60,2011-06-30,0.0,10120
61,2011-07-31,5.0,10120
62,2011-08-31,35.0,10120
63,2011-09-30,10.0,10120
64,2011-10-31,10.0,10120
65,2011-11-30,49.0,10120
66,2011-12-31,6.0,10120
67,2009-12-31,128.0,10125
68,2010-01-31,3.0,10125
69,2010-02-28,45.0,10125
70,2010-03-31,110.0,10125
71,2010-04-30,20.0,10125
72,2010-05-31,20.0,10125
73,2010-06-30,64.0,10125
74,2010-07-31,105.0,10125
75,2010-08-31,0.0,10125
76,2010-09-30,65.0,10125
77,2010-10-31,121.0,10125
78,2010-11-30,129.0,10125
79,2010-12-31,199.0,10125
80,2011-01-31,213.0,10125
81,2011-02-28,0.0,10125
82,2011-03-31,114.0,10125
83,2011-04-30,82.0,10125
84,2011-05-31,107.0,10125
85,2011-06-30,15.0,10125
86,2011-07-31,177.0,10125
87,2011-08-31,85.0,10125
88,2011-09-30,210.0,10125
89,2011-10-31,51.0,10125
90,2011-11-30,62.0,10125
91,2011-12-31,26.0,10125
92,2009-12-31,154.0,10133
93,2010-01-31,162.0,10133
94,2010-02-28,102.0,10133
95,2010-03-31,41.0,10133
96,2010-04-30,45.0,10133
97,2010-05-31,86.0,10133
98,2010-06-30,30.0,10133
99,2010-07-31,72.0,10133
100,2010-08-31,65.0,10133
101,2010-09-30,47.0,10133
102,2010-10-31,104.0,10133
103,2010-11-30,73.0,10133
104,2010-12-31,164.0,10133
105,2011-01-31,180.0,10133
106,2011-02-28,39.0,10133
107,2011-03-31,83.0,10133
108,2011-04-30,76.0,10133
109,2011-05-31,33.0,10133
110,2011-06-30,526.0,10133
111,2011-07-31,830.0,10133
112,2011-08-31,763.0,10133
113,2011-09-30,207.0,10133
114,2009-12-31,53.0,10134
115,2010-01-31,215.0,10134
116,2010-02-28,34.0,10134
117,2010-03-31,64.0,10134
118,2010-04-30,20.0,10134
119,2010-05-31,10.0,10134
120,2010-06-30,17.0,10134
121,2010-07-31,13.0,10134
122,2010-08-31,142.0,10134
123,2010-09-30,3.0,10134
124,2010-10-31,28.0,10134
125,2010-11-30,28.0,10134
126,2009-12-31,123.0,10135
127,2010-01-31,48.0,10135
128,2010-02-28,868.0,10135
129,2010-03-31,101.0,10135
130,2010-04-30,70.0,10135
131,2010-05-31,133.0,10135
132,2010-06-30,73.0,10135
133,2010-07-31,53.0,10135
134,2010-08-31,74.0,10135
135,2010-09-30,45.0,10135
136,2010-10-31,84.0,10135
137,2010-11-30,325.0,10135
138,2010-12-31,456.0,10135
139,2011-01-31,613.0,10135
140,2011-02-28,272.0,10135
141,2011-03-31,118.0,10135
142,2011-04-30,30.0,10135
143,2011-05-31,13.0,10135
144,2011-06-30,55.0,10135
145,2011-07-31,177.0,10135
146,2011-08-31,152.0,10135
147,2011-09-30,70.0,10135
148,2011-10-31,70.0,10135
149,2011-11-30,181.0,10135
150,2011-12-31,69.0,10135
151,2009-12-31,176.0,10138
152,2010-01-31,15.0,10138
153,2010-02-28,36.0,10138
154,2010-03-31,13.0,10138
155,2010-04-30,21.0,10138
156,2009-12-31,202.0,11001
157,2010-01-31,83.0,11001
158,2010-02-28,17.0,11001
159,2010-03-31,53.0,11001
160,2010-04-30,70.0,11001
161,2010-05-31,713.0,11001
162,2010-06-30,204.0,11001
163,2010-07-31,48.0,11001
164,2010-08-31,334.0,11001
165,2010-09-30,159.0,11001
166,2010-10-31,999.0,11001
167,2010-11-30,335.0,11001
168,2010-12-31,127.0,11001
